Country,GDP Per Capita,Life Satisfaction
Australia,65359.89,7.1
Austria,57114.35,7.2
Belgium,55175.0,6.8
Brazil,10043.62,6.1
Canada,55244.96,7.0
Switzerland,100599.49,7.5
Chile,17093.24,6.2
Colombia,6978.84,5.7
Costa Rica,16595.37,6.3
Germany,54333.68,7.3
Denmark,68871.24,7.5
Spain,34093.09,6.5
Estonia,31215.86,6.5
Finland,53292.52,7.9
France,47127.74,6.7
United Kingdom,49911.63,6.8
Greece,23546.25,5.8
Hungary,20912.16,6.0
Ireland,109037.37,7.0
Iceland,83462.87,7.6
Israel,55982.34,7.2
Italy,39084.62,6.5
Japan,34101.23,6.1
Lithuania,29352.3,6.4
Luxembourg,130970.06,7.4
Latvia,23083.6,6.2
Mexico,13927.89,6.0
Netherlands,65520.59,7.5
Norway,88651.61,7.3
New Zealand,48234.64,7.3
Poland,19724.06,6.1
Portugal,28212.86,5.8
Slovenia,32622.2,6.5
Sweden,55122.1,7.3
United States,81532.32,7.0
South Africa,6301.46,4.9
